current_version,week_start,stagger,cumulative_cells,stagger_total_cells,pct_of_stagger
262.14,2026-03-30,R2b,0,119,0.0
262.14,2026-03-30,SB0,7,16,43.8
262.14,2026-03-30,SB1,4,268,1.5
262.14,2026-04-06,R0,0,9,0.0
262.14,2026-04-06,R1,0,113,0.0
262.14,2026-04-06,R2a,0,472,0.0
262.14,2026-04-06,R2b,0,119,0.0
262.14,2026-04-06,SB0,7,16,43.8
262.14,2026-04-06,SB1,4,268,1.5
262.14,2026-04-13,R0,0,9,0.0
262.14,2026-04-13,R1,0,113,0.0
262.14,2026-04-13,R2a,0,472,0.0
262.14,2026-04-13,R2b,0,119,0.0
262.14,2026-04-13,SB0,7,16,43.8
262.14,2026-04-13,SB1,4,268,1.5
262.14,2026-04-20,R0,0,9,0.0
262.14,2026-04-20,R1,0,113,0.0
262.14,2026-04-20,R2a,0,472,0.0
262.14,2026-04-20,R2b,0,119,0.0
262.14,2026-04-20,SB0,7,16,43.8
262.14,2026-04-20,SB1,4,268,1.5
262.14,2026-04-27,R0,0,9,0.0
262.14,2026-04-27,R1,0,113,0.0
262.14,2026-04-27,R2a,0,472,0.0
262.14,2026-04-27,R2b,0,119,0.0
262.14,2026-04-27,SB0,7,16,43.8
262.14,2026-04-27,SB1,4,268,1.5
262.14,2026-05-04,R0,0,9,0.0
262.14,2026-05-04,R1,0,113,0.0
262.14,2026-05-04,R2a,0,472,0.0
262.14,2026-05-04,R2b,0,119,0.0
262.14,2026-05-04,SB0,7,16,43.8
262.14,2026-05-04,SB1,4,268,1.5
262.14,2026-05-11,R0,0,9,0.0
262.14,2026-05-11,R1,0,113,0.0
262.14,2026-05-11,R2a,0,472,0.0
262.14,2026-05-11,R2b,0,119,0.0
262.14,2026-05-11,SB0,7,16,43.8
262.14,2026-05-11,SB1,4,268,1.5
262.14,2026-05-18,R0,0,9,0.0
262.14,2026-05-18,R1,0,113,0.0
262.14,2026-05-18,R2a,0,472,0.0
262.14,2026-05-18,R2b,0,119,0.0
262.14,2026-05-18,SB0,7,16,43.8
262.14,2026-05-18,SB1,4,268,1.5
262.14,2026-05-25,R0,0,9,0.0
262.14,2026-05-25,R1,0,113,0.0
262.14,2026-05-25,R2a,0,472,0.0
262.14,2026-05-25,R2b,0,119,0.0
262.14,2026-05-25,SB0,7,16,43.8
262.14,2026-05-25,SB1,4,268,1.5
262.14,2026-06-01,R0,0,9,0.0
262.14,2026-06-01,R1,0,113,0.0
262.14,2026-06-01,R2a,0,472,0.0
262.14,2026-06-01,R2b,0,119,0.0
262.14,2026-06-01,SB0,7,16,43.8
262.14,2026-06-01,SB1,4,268,1.5
262.15,2026-03-16,R0,0,9,0.0
262.15,2026-03-16,R1,1,113,0.9
262.15,2026-03-16,R2a,0,472,0.0
262.15,2026-03-16,R2b,0,119,0.0
262.15,2026-03-16,SB0,1,16,6.3
262.15,2026-03-16,SB1,0,268,0.0
262.15,2026-03-23,R0,0,9,0.0
262.15,2026-03-23,R1,1,113,0.9
262.15,2026-03-23,R2a,0,472,0.0
262.15,2026-03-23,R2b,0,119,0.0
262.15,2026-03-23,SB0,1,16,6.3
